category,key,count
rows_by_grade,3,33
rows_by_grade,4,37
rows_by_grade,5,40
rows_by_grade,6,41
rows_by_grade,7,43
rows_by_grade,8,47
rows_by_reportingCategory,3:A,7
rows_by_reportingCategory,3:B,10
rows_by_reportingCategory,3:D,16
rows_by_reportingCategory,4:A,7
rows_by_reportingCategory,4:B,10
rows_by_reportingCategory,4:D,15
rows_by_reportingCategory,4:E,5
rows_by_reportingCategory,5:A,7
rows_by_reportingCategory,5:B,10
rows_by_reportingCategory,5:D,17
rows_by_reportingCategory,5:E,6
rows_by_reportingCategory,6:A,9
rows_by_reportingCategory,6:B,10
rows_by_reportingCategory,6:D,16
rows_by_reportingCategory,6:E,6
rows_by_reportingCategory,7:A,9
rows_by_reportingCategory,7:B,10
rows_by_reportingCategory,7:D,18
rows_by_reportingCategory,7:E,6
rows_by_reportingCategory,8:A,9
rows_by_reportingCategory,8:B,10
rows_by_reportingCategory,8:D,22
rows_by_reportingCategory,8:E,6
rows_by_assessmentAnchor,E03.A-K.1,3
rows_by_assessmentAnchor,E03.A-C.2,1
rows_by_assessmentAnchor,E03.A-C.3,1
rows_by_assessmentAnchor,E03.A-V.4,2
rows_by_assessmentAnchor,E03.B-K.1,3
rows_by_assessmentAnchor,E03.B-C.2,2
rows_by_assessmentAnchor,E03.B-C.3,3
rows_by_assessmentAnchor,E03.B-V.4,2
rows_by_assessmentAnchor,E03.D.1,15
rows_by_assessmentAnchor,E03.D.2,1
rows_by_assessmentAnchor,E04.A-K.1,3
rows_by_assessmentAnchor,E04.A-C.2,1
rows_by_assessmentAnchor,E04.A-C.3,1
rows_by_assessmentAnchor,E04.A-V.4,2
rows_by_assessmentAnchor,E04.B-K.1,3
rows_by_assessmentAnchor,E04.B-C.2,2
rows_by_assessmentAnchor,E04.B-C.3,3
rows_by_assessmentAnchor,E04.B-V.4,2
rows_by_assessmentAnchor,E04.D.1,12
rows_by_assessmentAnchor,E04.D.2,3
rows_by_assessmentAnchor,E04.E.1,5
rows_by_assessmentAnchor,E05.A-K.1,3
rows_by_assessmentAnchor,E05.A-C.2,1
rows_by_assessmentAnchor,E05.A-C.3,1
rows_by_assessmentAnchor,E05.A-V.4,2
rows_by_assessmentAnchor,E05.B-K.1,3
rows_by_assessmentAnchor,E05.B-C.2,2
rows_by_assessmentAnchor,E05.B-C.3,3
rows_by_assessmentAnchor,E05.B-V.4,2
rows_by_assessmentAnchor,E05.D.1,13
rows_by_assessmentAnchor,E05.D.2,4
rows_by_assessmentAnchor,E05.E.1,6
rows_by_assessmentAnchor,E06.A-K.1,3
rows_by_assessmentAnchor,E06.A-C.2,3
rows_by_assessmentAnchor,E06.A-C.3,1
rows_by_assessmentAnchor,E06.A-V.4,2
rows_by_assessmentAnchor,E06.B-K.1,3
rows_by_assessmentAnchor,E06.B-C.2,3
rows_by_assessmentAnchor,E06.B-C.3,2
rows_by_assessmentAnchor,E06.B-V.4,2
rows_by_assessmentAnchor,E06.D.1,11
rows_by_assessmentAnchor,E06.D.2,5
rows_by_assessmentAnchor,E06.E.1,6
rows_by_assessmentAnchor,E07.A-K.1,3
rows_by_assessmentAnchor,E07.A-C.2,3
rows_by_assessmentAnchor,E07.A-C.3,1
rows_by_assessmentAnchor,E07.A-V.4,2
rows_by_assessmentAnchor,E07.B-K.1,3
rows_by_assessmentAnchor,E07.B-C.2,3
rows_by_assessmentAnchor,E07.B-C.3,2
rows_by_assessmentAnchor,E07.B-V.4,2
rows_by_assessmentAnchor,E07.D.1,13
rows_by_assessmentAnchor,E07.D.2,5
rows_by_assessmentAnchor,E07.E.1,6
rows_by_assessmentAnchor,E08.A-K.1,3
rows_by_assessmentAnchor,E08.A-C.2,3
rows_by_assessmentAnchor,E08.A-C.3,1
rows_by_assessmentAnchor,E08.A-V.4,2
rows_by_assessmentAnchor,E08.B-K.1,3
rows_by_assessmentAnchor,E08.B-C.2,3
rows_by_assessmentAnchor,E08.B-C.3,2
rows_by_assessmentAnchor,E08.B-V.4,2
rows_by_assessmentAnchor,E08.D.1,16
rows_by_assessmentAnchor,E08.D.2,6
rows_by_assessmentAnchor,E08.E.1,6
ec_codes_loaded,total,241
pa_core_join_rows,total,936
unconfirmed_source_anomaly_rows,total,6
alignment_resolution,NEEDS_CROSSWALK_TO_ALIGNED,0
alignment_resolution,BROAD_CC_ONLY_TO_NEEDS_REVIEW,0
alignment_resolution,REMAINING_NEEDS_CROSSWALK,0
