groupKey,totalItems,index0Count,index1Count,index2Count,index3Count,dominantIndex,dominantPct,result,notes
overall,867,757,81,29,0,0,0.8731,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 87% of the time.
gradeLevel=3|subject=ELA|itemType=CONVENTIONS,5,0,4,1,0,1,0.8,SKIP,Distribution within threshold.
gradeLevel=3|subject=ELA|itemType=MCQ,26,26,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=4|subject=ELA|itemType=CONVENTIONS,5,0,4,1,0,1,0.8,SKIP,Distribution within threshold.
gradeLevel=4|subject=ELA|itemType=MCQ,29,29,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=5|subject=ELA|itemType=CONVENTIONS,20,1,13,6,0,1,0.65,FAIL,PSSA_ANSWER_POSITION_BIAS: index 1 appears 65% of the time.
gradeLevel=5|subject=ELA|itemType=MCQ,45,45,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS,111,42,51,18,0,1,0.4595,PASS,Distribution within threshold.
gradeLevel=6|subject=ELA|itemType=MCQ,521,521,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS,10,2,6,2,0,1,0.6,SKIP,Distribution within threshold.
gradeLevel=7|subject=ELA|itemType=MCQ,58,58,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS,5,1,3,1,0,1,0.6,SKIP,Distribution within threshold.
gradeLevel=8|subject=ELA|itemType=MCQ,32,32,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=3|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.3.F1|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=3|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.3.F4|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
