source,grade,lessonId,title,standardCode,skill,reviewStatus,generatedBy,aiStatus,approvedAt,rejectedAt,practiceSections,reviewCount,approvable,blockerCount
database.learningLesson,4,cmpdh5m7u009qevu9b6sq9ivk,Understanding Affixes and Roots,CC.1.1.4.D,Affixes and Roots,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdh63tp009yevu9abub6l5w,Mastering Multisyllabic Words,CC.1.1.4.E,Decoding Multisyllabic Words,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdha1hu00abevu9csx08m68,Enhancing Reading Fluency,CC.1.1.4.E,Fluency Strategies,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhas9n00ajevu9teh71x9k,Understanding Main Ideas Across Texts,CC.1.2.4.A,Combine Main Ideas Across Texts,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhcgsm00awevu9rk3hmgr4,Understanding Main Idea and Key Details,CC.1.2.4.A,Main Idea,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhgonw00b9evu9g6u9w9jt,Making Inferences from Text,CC.1.2.4.B,Inference,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhhzd600bjevu9362t3f0f,Inference with Supporting Details,CC.1.2.4.B,Inference with Supporting Details,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhlfoh00buevu902sxjmck,Using Text Evidence,CC.1.2.4.B,Text Evidence,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhn7na00c2evu91o7fjgaw,Understanding Author's Purpose and Message,CC.1.2.4.D,Author's Purpose and Message,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhp9cf00cfevu9521zskko,Understanding Graphic Organizers,CC.1.2.4.E,Graphic Organizers,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
