entityType,entityId,source,requiredFields,presentFields,missingFields,completenessPercent
diagnostic_item,40001,generated,7,7,,100
diagnostic_item,40002,generated,7,7,,100
diagnostic_item,40003,generated,7,7,,100
diagnostic_item,40004,generated,7,7,,100
diagnostic_item,40005,generated,7,7,,100
diagnostic_item,40006,generated,7,7,,100
diagnostic_item,40007,generated,7,7,,100
diagnostic_item,40008,generated,7,7,,100
diagnostic_item,40009,generated,7,7,,100
diagnostic_item,40010,generated,7,7,,100
diagnostic_item,40011,generated,7,7,,100
diagnostic_item,40012,generated,7,7,,100
diagnostic_item,40013,generated,7,7,,100
diagnostic_item,40014,generated,7,7,,100
diagnostic_item,40015,generated,7,7,,100
diagnostic_item,40016,generated,7,7,,100
diagnostic_item,40017,generated,7,7,,100
diagnostic_item,40018,generated,7,7,,100
diagnostic_item,40019,generated,7,7,,100
diagnostic_item,40020,generated,7,7,,100
diagnostic_item,40021,generated,7,7,,100
diagnostic_item,40022,generated,7,7,,100
diagnostic_item,40023,generated,7,7,,100
diagnostic_item,40024,generated,7,7,,100
diagnostic_item,40025,generated,7,7,,100
diagnostic_item,40026,generated,7,7,,100
diagnostic_item,40027,generated,7,7,,100
diagnostic_item,40028,generated,7,7,,100
diagnostic_item,40029,generated,7,7,,100
diagnostic_item,40030,generated,7,7,,100
diagnostic_item,40031,generated,7,7,,100
diagnostic_item,40032,generated,7,7,,100
diagnostic_item,40033,generated,7,7,,100
diagnostic_item,40034,generated,7,7,,100
diagnostic_item,40035,generated,7,7,,100
diagnostic_item,40036,generated,7,7,,100
diagnostic_item,40037,generated,7,7,,100
diagnostic_item,40038,generated,7,7,,100
diagnostic_item,40039,generated,7,7,,100
diagnostic_item,40040,generated,7,7,,100
diagnostic_item,40041,generated,7,7,,100
diagnostic_item,40042,generated,7,7,,100
diagnostic_item,40043,generated,7,7,,100
diagnostic_item,40044,generated,7,7,,100
diagnostic_item,40045,generated,7,7,,100
diagnostic_item,40046,generated,7,7,,100
diagnostic_item,40047,generated,7,7,,100
diagnostic_item,40048,generated,7,7,,100
diagnostic_item,40049,generated,7,7,,100
diagnostic_item,40050,generated,7,7,,100
diagnostic_item,40051,generated,7,7,,100
diagnostic_item,40052,generated,7,7,,100
diagnostic_item,40053,generated,7,7,,100
lesson,cmpdh5m7u009qevu9b6sq9ivk,database.learningLesson,6,6,,100
lesson,cmpdh63tp009yevu9abub6l5w,database.learningLesson,6,6,,100
lesson,cmpdha1hu00abevu9csx08m68,database.learningLesson,6,6,,100
lesson,cmpdhas9n00ajevu9teh71x9k,database.learningLesson,6,6,,100
lesson,cmpdhcgsm00awevu9rk3hmgr4,database.learningLesson,6,6,,100
lesson,cmpdhgonw00b9evu9g6u9w9jt,database.learningLesson,6,6,,100
lesson,cmpdhhzd600bjevu9362t3f0f,database.learningLesson,6,6,,100
lesson,cmpdhlfoh00buevu902sxjmck,database.learningLesson,6,6,,100
lesson,cmpdhn7na00c2evu91o7fjgaw,database.learningLesson,6,6,,100
lesson,cmpdhp9cf00cfevu9521zskko,database.learningLesson,6,6,,100
lesson,cmpdhrlfc00cqevu9gdjhv6if,database.learningLesson,6,6,,100
lesson,cmpdht2ut00cyevu96difvrzn,database.learningLesson,6,6,,100
lesson,cmpdhvyp400d8evu9dt50rod2,database.learningLesson,6,6,,100
lesson,cmpdhwrjk00dievu9tdtn7as2,database.learningLesson,6,6,,100
lesson,cmpdi049g00e0evu9i4lhqmdd,database.learningLesson,6,6,,100
lesson,cmpdhzp7s00dsevu91d5ngbrd,database.learningLesson,6,6,,100
lesson,cmpdi436p00edevu9qj8qbl4v,database.learningLesson,6,6,,100
lesson,cmpdi5a0y00elevu98ni5vpa6,database.learningLesson,6,6,,100
lesson,cmpdi8kps00etevu9e5xap1kx,database.learningLesson,6,6,,100
lesson,cmpdibiyu00f1evu9w0ber6ec,database.learningLesson,6,6,,100
lesson,cmpdid0ed00fdevu9ztkt8ejr,database.learningLesson,6,6,,100
lesson,cmpdie6nd00fqevu9h7ooi2ft,database.learningLesson,6,6,,100
lesson,cmpdii6m500g2evu9v5z7faq3,database.learningLesson,6,6,,100
lesson,cmpdijwpx00gaevu9kg2tawq6,database.learningLesson,6,6,,100
lesson,cmpdillv200gkevu9hbeud3qu,database.learningLesson,6,6,,100
lesson,cmpdio2v800h0evu9lu9ndp41,database.learningLesson,6,6,,100
lesson,cmpdio0lr00gsevu959kopr04,database.learningLesson,6,6,,100
lesson,cmpdiqi2w00hcevu9yw697jp4,database.learningLesson,6,6,,100
lesson,cmpdiqj9200hkevu9wac0r2fv,database.learningLesson,6,6,,100
lesson,cmpdiswsi00hwevu91ig9arf8,database.learningLesson,6,6,,100
lesson,cmpditszl00i4evu9n5fh3bke,database.learningLesson,6,6,,100
lesson,cmpdix3ca00ieevu93foszdc7,database.learningLesson,6,6,,100
passage,literary,generated,6,6,,100
passage,informational,generated,6,6,,100
passage,paired,generated,6,6,,100
passage,table,generated,6,6,,100
