sourceType,sourceId,licenseStatus,attribution,externalSourceUrl,notes
generated_diagnostic,generated-pssa-ela-grade-4,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
lesson,cmpdh5m7u009qevu9b6sq9ivk,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdh63tp009yevu9abub6l5w,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdha1hu00abevu9csx08m68,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhas9n00ajevu9teh71x9k,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhcgsm00awevu9rk3hmgr4,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhgonw00b9evu9g6u9w9jt,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhhzd600bjevu9362t3f0f,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhlfoh00buevu902sxjmck,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhn7na00c2evu91o7fjgaw,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhp9cf00cfevu9521zskko,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhrlfc00cqevu9gdjhv6if,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdht2ut00cyevu96difvrzn,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhvyp400d8evu9dt50rod2,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhwrjk00dievu9tdtn7as2,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdi049g00e0evu9i4lhqmdd,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdhzp7s00dsevu91d5ngbrd,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdi436p00edevu9qj8qbl4v,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdi5a0y00elevu98ni5vpa6,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdi8kps00etevu9e5xap1kx,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdibiyu00f1evu9w0ber6ec,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdid0ed00fdevu9ztkt8ejr,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdie6nd00fqevu9h7ooi2ft,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdii6m500g2evu9v5z7faq3,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdijwpx00gaevu9kg2tawq6,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdillv200gkevu9hbeud3qu,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdio2v800h0evu9lu9ndp41,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdio0lr00gsevu959kopr04,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdiqi2w00hcevu9yw697jp4,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdiqj9200hkevu9wac0r2fv,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdiswsi00hwevu91ig9arf8,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpditszl00i4evu9n5fh3bke,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
lesson,cmpdix3ca00ieevu93foszdc7,internal_or_ai_assisted_review_required,PREBUILT_AI_LIBRARY,,Lesson may contain resource links or AI-assisted text; review sourcePayload/reviewMetadata.
