duplicateGroupId,ruleId,itemIds,count,gradeLevel,itemType,standardCode,normalizedStem,normalizedChoices,sourceType,severity
ef79c08894de,PSSA_DUPLICATE_ITEM_EXACT,30016|30031,2,3,MCQ,CC.1.2.3.A,which answer best explains main idea in two views of a community garden,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
2d64f24458ff,PSSA_DUPLICATE_ITEM_EXACT,30017|30032|30036|30038,4,3,MCQ,CC.1.2.3.B,what can the reader infer about the topic in two views of a community garden,the text gives clues that help the reader figure out something not stated directly | the reader should guess without using the passage | only the title matters | the answer must be copied exactly from one sentence,generated,BLOCKER
17fe0b208b66,PSSA_DUPLICATE_ITEM_EXACT,30018|30033,2,3,MCQ,CC.1.3.3.C / CC.1.2.3.E,who is telling the story or presenting the information in two views of a community garden,a narrator or author whose words show who is speaking | a chart that gives numbers only | a character who never appears in the passage | the reader of the passage,generated,BLOCKER
22387c707168,PSSA_DUPLICATE_ITEM_EXACT,30020|30041,2,3,MCQ,CC.1.2.3.A,which answer best explains main idea in designing a water smart schoolyard,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
76c84c55bbf5,PSSA_DUPLICATE_ITEM_EXACT,30021|30025|30027|30042|30046|30048,6,3,MCQ,CC.1.2.3.B,what can the reader infer about the topic in designing a water smart schoolyard,the text gives clues that help the reader figure out something not stated directly | the reader should guess without using the passage | only the title matters | the answer must be copied exactly from one sentence,generated,BLOCKER
7b1030d7c18c,PSSA_DUPLICATE_ITEM_EXACT,30022|30043,2,3,EBSR,CC.1.2.3.C,which conclusion is best supported by designing a water smart schoolyard,the passage mainly lists unrelated facts | the author develops an idea through connected evidence | the passage avoids explaining causes | the title is the only useful clue,generated,BLOCKER
e763a072fa08,PSSA_DUPLICATE_ITEM_EXACT,30023|30029|30044,3,3,MCQ,CC.1.2.3.D,which answer best explains vocabulary in designing a water smart schoolyard,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
31ff8c1b754e,PSSA_DUPLICATE_ITEM_EXACT,30024|30045,2,3,DRAG_DROP,CC.1.3.3.C / CC.1.2.3.E,read the sentences move the most descriptive phrase onto the blank line to complete sentence 3,had more than enough strawberries in it | had plenty of good strawberries in it | was packed full of juicy strawberries | was filled with wonderful strawberries,generated,BLOCKER
5eda91358657,PSSA_DUPLICATE_ITEM_EXACT,30026|30047,2,3,HOT_TEXT,CC.1.2.3.A,read the sentence select the correctly spelled word from the underlined pair,mr long bought some carrots at the market | mr long boght some carrots at the market | the carrots cost fourty cents | he saved the wrest to eat later,generated,BLOCKER
4621025cbb98,PSSA_DUPLICATE_ITEM_EXACT,30028|30049,2,3,MULTI_SELECT,CC.1.2.3.C,read the paragraph select two phrases that help you understand the meaning of do not rush,walk at a leisurely pace | take in the sights sounds and smells | near a swamp | different things,generated,BLOCKER
eaa5349407d0,PSSA_DUPLICATE_ITEM_EXACT,30034|30040,2,3,MCQ,CC.1.2.3.C,which answer best explains text structure in two views of a community garden,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
a06fcaf0a1a2,PSSA_DUPLICATE_ITEM_EXACT,40011|40015,2,4,MCQ,CC.1.2.4.B,what can be concluded based on details in how wetlands protect a watershed,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
341f82200c11,PSSA_DUPLICATE_ITEM_EXACT,40017|40041,2,4,MCQ,CC.1.3.4.A,which answer best explains theme in the last bell before the storm,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
