scope,itemId,totalMcq,correctLongestCount,correctLongestPct,correctIndex,correctWordLength,longestDistractorWordLength,correctCharLength,longestDistractorCharLength,severity,result,notes,lessonId,sourceId
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","ded16ab08a23dc9a","archive-readable-v2-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","1bb97100669bfab1","archive-readable-v2-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","36c9beda0ceb59c5","archive-readable-v2-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","ef09174d99e615f9","archive-readable-v2-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","33e15019de7f5340","archive-readable-v2-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","852f9e9d0f426ef9","archive-readable-v2-samples"
"item","b3800e9455ad83e5:guidedPractice:1","1","0","0","0","2","3","12","23","INFO","PASS","Correct choice length is within threshold.","b3800e9455ad83e5","archive-token-budget-json-samples"
"item","b3800e9455ad83e5:independentPractice:1","1","0","0","0","2","3","12","23","INFO","PASS","Correct choice length is within threshold.","b3800e9455ad83e5","archive-token-budget-json-samples"
"item","b3800e9455ad83e5:exitTicket:1","1","0","0","0","2","3","12","23","INFO","PASS","Correct choice length is within threshold.","b3800e9455ad83e5","archive-token-budget-json-samples"
"item","b3800e9455ad83e5:masteryCheck:1","1","0","0","0","2","3","12","23","INFO","PASS","Correct choice length is within threshold.","b3800e9455ad83e5","archive-token-budget-json-samples"
"batch","batch","4","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","b3800e9455ad83e5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:guidedPractice:1","1","1","1","0","6","4","45","27","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 2 words and 67% chars.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:independentPractice:1","1","1","1","0","7","5","53","36","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 2 words and 47% chars.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:independentPractice:4","1","1","1","0","11","10","65","64","WARNING","PASS","PSSA_MCQ_CORRECT_IS_LONGEST warning: correct choice is single longest by 1 word.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:exitTicket:1","1","1","1","0","6","4","45","27","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 2 words and 67% chars.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:masteryCheck:1","1","1","1","0","7","5","53","36","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 2 words and 47% chars.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","2e499bbebc952fb5:masteryCheck:3","1","1","1","0","11","10","65","64","WARNING","PASS","PSSA_MCQ_CORRECT_IS_LONGEST warning: correct choice is single longest by 1 word.","2e499bbebc952fb5","archive-token-budget-json-samples"
"batch","batch","6","6","1","","","","","","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest in 100% of MCQs.","2e499bbebc952fb5","archive-token-budget-json-samples"
"item","9002456ac29624c0:guidedPractice:2","1","1","1","2","9","11","85","65","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by -2 words and 31% chars.","9002456ac29624c0","archive-token-budget-json-samples"
"item","9002456ac29624c0:independentPractice:2","1","1","1","2","11","12","101","75","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by -1 words and 35% chars.","9002456ac29624c0","archive-token-budget-json-samples"
"item","9002456ac29624c0:exitTicket:2","1","1","1","2","10","9","85","62","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 1 words and 37% chars.","9002456ac29624c0","archive-token-budget-json-samples"
"item","9002456ac29624c0:masteryCheck:2","1","1","1","2","19","9","131","63","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest by 10 words and 108% chars.","9002456ac29624c0","archive-token-budget-json-samples"
"batch","batch","4","4","1","","","","","","BLOCKER","FAIL","PSSA_MCQ_CORRECT_IS_LONGEST: correct choice is longest in 100% of MCQs.","9002456ac29624c0","archive-token-budget-json-samples"
"batch","batch","0","0","0","","","","","","INFO","PASS","Batch correct-longest rate within threshold.","0a92041488234812","archive-token-budget-json-samples"
"item","0e8575d500914ce7:independentPractice:4","1","0","0","0","4","5","26","32","INFO","PASS","Correct choice length is within threshold.","0e8575d500914ce7","archive-token-budget-json-samples"
