itemId,passageId,gradeLevel,eligibleContent,ruleId,result,severity,evidence,failedChoiceIndices,notes
pssa_item_g4_reading_1,pssa_psg_g4_creek_watchers,4,E04.A-K.1.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_2,pssa_psg_g4_the_map_in_the_station,4,E04.A-K.1.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_3,pssa_psg_g4_a_cooler_lunch_line,4,E04.A-K.1.1.3,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_4,pssa_psg_g4_the_mural_plan,4,E04.A-C.2.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_5,pssa_psg_g4_the_cart_that_would_not_turn,4,E04.A-C.3.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_6,pssa_psg_g4_creek_watchers,4,E04.A-V.4.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_7,pssa_psg_g4_the_map_in_the_station,4,E04.A-V.4.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_8,pssa_psg_g4_a_cooler_lunch_line,4,E04.B-K.1.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_9,pssa_psg_g4_the_mural_plan,4,E04.B-K.1.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_10,pssa_psg_g4_the_cart_that_would_not_turn,4,E04.B-K.1.1.3,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_11,pssa_psg_g4_creek_watchers,4,E04.B-C.2.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_12,pssa_psg_g4_the_map_in_the_station,4,E04.B-C.2.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_13,pssa_psg_g4_a_cooler_lunch_line,4,E04.B-C.3.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_14,pssa_psg_g4_the_mural_plan,4,E04.B-C.3.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_15,pssa_psg_g4_the_cart_that_would_not_turn,4,E04.B-C.3.1.3,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_16,pssa_psg_g4_creek_watchers,4,E04.B-V.4.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_17,pssa_psg_g4_the_map_in_the_station,4,E04.B-V.4.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_18,pssa_psg_g4_a_cooler_lunch_line,4,E04.A-K.1.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_19,pssa_psg_g4_the_mural_plan,4,E04.A-K.1.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_20,pssa_psg_g4_the_cart_that_would_not_turn,4,E04.A-K.1.1.3,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_21,pssa_psg_g4_creek_watchers,4,E04.A-C.2.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_22,pssa_psg_g4_the_map_in_the_station,4,E04.A-C.3.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_23,pssa_psg_g4_a_cooler_lunch_line,4,E04.A-V.4.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_24,pssa_psg_g4_the_mural_plan,4,E04.A-V.4.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g4_reading_25,pssa_psg_g4_the_cart_that_would_not_turn,4,E04.B-K.1.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g5_reading_1,pssa_psg_g5_creek_watchers,5,E05.A-K.1.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g5_reading_2,pssa_psg_g5_the_map_in_the_station,5,E05.A-K.1.1.2,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g5_reading_3,pssa_psg_g5_a_cooler_lunch_line,5,E05.A-K.1.1.3,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g5_reading_4,pssa_psg_g5_the_mural_plan,5,E05.A-C.2.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
pssa_item_g5_reading_5,pssa_psg_g5_the_cart_that_would_not_turn,5,E05.A-C.3.1.1,PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED,FAIL,BLOCKER,structuredChoicesJson missing or length mismatch,0|1|2|3,Structured choices with rationale and evidenceLinks are required for passage-linked reading MCQs.
