passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-p39a6o,1,<topic> after <topic> <topic> <topic> a <topic> <topic> <topic> <topic> <topic> <topic> the <x> was not <x> a <x> it <x> more <x> a <x> of <x> the <x> the next <x> class <x> the <t,No reused masked skeleton found.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-7c4zmz,1,<x> <topic> <topic> an <x> <topic> <topic> at <topic> <topic> they <topic> a <topic> <x> <topic> into a <topic> <topic> <x> the <x> but <x> the <x> a <x> in the <x> the <topic> <x>,No reused masked skeleton found.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-o7djn5,1,by <topic> <topic> <x> <topic> the <topic> <topic> had a <topic> <x> in <x> while <x> for <x> the end of the <x> the <topic> <x> had to <x> for a <x> asked the class to <x> the <x>,No reused masked skeleton found.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-yfzlct,1,<x> <topic> the <topic> <topic> <x> because <x> <topic> <topic> had a <topic> <topic> <topic> the <x> <topic> but <x> the <x> the <topic> <x> <topic> <x> were <x> with the <topic> ,No reused masked skeleton found.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-sfpv05,1,a <topic> <topic> <topic> <topic> <x> <topic> it the <x> <topic> in the <x> did not <x> it <x> the <x> the <x> they <x> it <x> the <topic> <x> the <x> to <x> the <x> would not <x> ,No reused masked skeleton found.
pssa_psg_g4_creek_watchers,4,Creek Watchers 4,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-ufivrv,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> <topic> <topic> after a <topic> <topic> their teacher asked them to avoid guesses and,Masked skeleton shared by 4 passages.
pssa_psg_g4_the_map_in_the_station,4,The Map in the Station 4,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-i6ukhw,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> an <x> <topic> <x> their teacher asked them to avoid guesses and collect details that,Masked skeleton shared by 5 passages.
pssa_psg_g4_a_cooler_lunch_line,4,A Cooler Lunch Line 4,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-9g7oh7,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> a <topic> <topic> <topic> their teacher asked them to avoid guesses and collect detai,Masked skeleton shared by 4 passages.
pssa_psg_g4_the_mural_plan,4,The Mural Plan 4,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-slnbp4,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> from <topic> <topic> their teacher asked them to avoid guesses an,Masked skeleton shared by 5 passages.
pssa_psg_g4_the_cart_that_would_not_turn,4,The Cart That Would Not Turn 4,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-zf3s6n,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> their teacher asked them to avoid guesses and collect details tha,Masked skeleton shared by 4 passages.
pssa_psg_g5_creek_watchers,5,Creek Watchers 5,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-ufivrv,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> <topic> <topic> after a <topic> <topic> their teacher asked them to avoid guesses and,Masked skeleton shared by 4 passages.
