passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-p39a6o,1,<topic> after <topic> <topic> <topic> a <topic> <topic> <topic> <topic> <topic> <topic> the <x> was not <x> a <x> it <x> more <x> a <x> of <x> the <x> the next <x> class <x> the <t,No reused masked skeleton found.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-7c4zmz,1,<x> <topic> <topic> an <x> <topic> <topic> at <topic> <topic> they <topic> a <topic> <x> <topic> into a <topic> <topic> <x> the <x> but <x> the <x> a <x> in the <x> the <topic> <x>,No reused masked skeleton found.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-o7djn5,1,by <topic> <topic> <x> <topic> the <topic> <topic> had a <topic> <x> in <x> while <x> for <x> the end of the <x> the <topic> <x> had to <x> for a <x> asked the class to <x> the <x>,No reused masked skeleton found.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-yfzlct,1,<x> <topic> the <topic> <topic> <x> because <x> <topic> <topic> had a <topic> <topic> <topic> the <x> <topic> but <x> the <x> the <topic> <x> <topic> <x> were <x> with the <topic> ,No reused masked skeleton found.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-sfpv05,1,a <topic> <topic> <topic> <topic> <x> <topic> it the <x> <topic> in the <x> did not <x> it <x> the <x> the <x> they <x> it <x> the <topic> <x> the <x> to <x> the <x> would not <x> ,No reused masked skeleton found.
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_TOPIC_COHERENCE,PASS,INFO,,5,topicTerms=night|creek|glowed|just|sunset|maya|noticed|pale|green|shine|along|pine; laterHits=11,Topic terms recur through the body without deterministic conflict terms.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_TOPIC_COHERENCE,PASS,INFO,,5,topicTerms=under|bench|workers|lifted|wooden|linden|station|found|paper|folded|thin|square; laterHits=10,Topic terms recur through the body without deterministic conflict terms.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_TOPIC_COHERENCE,PASS,INFO,,5,topicTerms=bell|saved|lunch|tuesday|room|knew|line|problem; laterHits=9,Topic terms recur through the body without deterministic conflict terms.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_TOPIC_COHERENCE,PASS,INFO,,5,topicTerms=blue|paint|saturday|carried|smallest|wrist|still|purple|soccer|bruise; laterHits=10,Topic terms recur through the body without deterministic conflict terms.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_TOPIC_COHERENCE,PASS,INFO,,5,topicTerms=cart|turn|supply|should|roll|guide; laterHits=10,Topic terms recur through the body without deterministic conflict terms.
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8837,concrete=just|sunset|maya|noticed|pale|green|shine|along|pine|creek|glow|bright|like|flashlight|looked|like|soft|line|paint|floating; generic=class|teacher|explained|look|class|wrote|class|question|place|compared|notes|chart|teacher|class|wrote|instead|asked|needed|careful|changes,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9351,concrete=workers|lifted|wooden|bench|linden|station|found|folded|thin|square|dust|covered|front|blue|rail|lines|still|crossed|page|date; generic=paper|paper|showed|people|match|people|paper|perfect|showed|place,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8896,concrete=tuesday|room|knew|lunch|line|soup|cooled|bowls|students|searched|spoons|milk|cartons|crowded|counter|line|stopped|whenever|someone|step; generic=problem|asked|class|class|careful|class|paper|showed|wrote|chart|decided|check|useful|class|instead|solution|work|class,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9686,concrete=carried|smallest|paint|wrist|still|purple|soccer|bruise|label|said|blue|inside|paint|looked|like|melted|berries|grandpa|laughed|face; generic=asked|people|move|asked|route,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.902,concrete=supply|cart|should|roll|guide|green|cart|room|students|pushed|toward|sink|front|wheel|wobbled|left|pulled|back|cart|scraped; generic=paper|problem|another|teacher|student|class|class|check|paper|time|instead|class|careful|saved|time,Concrete topic detail ratio passes calibrated threshold.
