subject,gradeLevel,reportingCategory,reportingCategoryTitle,assessmentAnchor,assessmentAnchorTitle,anchorDescriptor,anchorDescriptorText,eligibleContent,eligibleContentText,dokCeiling,paCoreStandardCodes,primaryPaCoreStandardCode,mappingGranularity,mappingConfidence,sourceDocument,sourceVersionYear,sourceUpdatedYear,sourceAnomalyJson
ELA,3,A,Literature Text,E03.A-K.1,Key Ideas and Details,E03.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E03.A-K.1.1.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,CC.1.3.3.A|CC.1.3.3.B|CC.1.3.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-K.1,Key Ideas and Details,E03.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E03.A-K.1.1.2,"Recount poems, dramas, or stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",,CC.1.3.3.A|CC.1.3.3.B|CC.1.3.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-K.1,Key Ideas and Details,E03.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E03.A-K.1.1.3,"Describe characters in a story (e.g., their traits, motivations, feelings) and explain how their actions contribute to the sequence of events.",,CC.1.3.3.A|CC.1.3.3.B|CC.1.3.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-C.2,Craft and Structure,E03.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E03.A-C.2.1.1,"Explain the point of view from which a story is narrated, including the difference between first- and third-person narrations.",,CC.1.3.3.D,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-C.3,Integration of Knowledge and Ideas,E03.A-C.3.1,"Demonstrate understanding of connections within, between, and/or among texts.",E03.A-C.3.1.1,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",,CC.1.3.3.H,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-V.4,Vocabulary Acquisition and Use,E03.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E03.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies (context clues, affixes, root words).",,CC.1.3.3.F|CC.1.3.3.I|CC.1.3.3.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,A,Literature Text,E03.A-V.4,Vocabulary Acquisition and Use,E03.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E03.A-V.4.1.2,Demonstrate understanding of word relationships and nuances in word meanings (literal vs. nonliteral meaning; shades of meaning among related words).,,CC.1.3.3.F|CC.1.3.3.I|CC.1.3.3.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,B,Informational Text,E03.B-K.1,Key Ideas and Details,E03.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E03.B-K.1.1.1,"Answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,CC.1.2.3.A|CC.1.2.3.B|CC.1.2.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,B,Informational Text,E03.B-K.1,Key Ideas and Details,E03.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E03.B-K.1.1.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,,CC.1.2.3.A|CC.1.2.3.B|CC.1.2.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,3,B,Informational Text,E03.B-K.1,Key Ideas and Details,E03.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E03.B-K.1.1.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",,CC.1.2.3.A|CC.1.2.3.B|CC.1.2.3.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 3 ELA Assessment Anchors and Eligible Content,2014,2017,
