subject,gradeLevel,reportingCategory,reportingCategoryTitle,assessmentAnchor,assessmentAnchorTitle,anchorDescriptor,anchorDescriptorText,eligibleContent,eligibleContentText,dokCeiling,paCoreStandardCodes,primaryPaCoreStandardCode,mappingGranularity,mappingConfidence,sourceDocument,sourceVersionYear,sourceUpdatedYear,sourceAnomalyJson
ELA,7,A,Literature Text,E07.A-K.1,Key Ideas and Details,E07.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E07.A-K.1.1.1,"Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences, conclusions, and/or generalizations drawn from the text.",,CC.1.3.7.A|CC.1.3.7.B|CC.1.3.7.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-K.1,Key Ideas and Details,E07.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E07.A-K.1.1.2,Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.,,CC.1.3.7.A|CC.1.3.7.B|CC.1.3.7.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-K.1,Key Ideas and Details,E07.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E07.A-K.1.1.3,"Analyze how particular elements of a story, drama, or poem interact (e.g., how the setting shapes the characters or plot).",,CC.1.3.7.A|CC.1.3.7.B|CC.1.3.7.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-C.2,Craft and Structure,E07.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E07.A-C.2.1.1,Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.,,CC.1.3.7.D|CC.1.3.7.E|CC.1.3.7.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-C.2,Craft and Structure,E07.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E07.A-C.2.1.2,"Analyze how a drama's or poem's form or structure (e.g., soliloquy, sonnet) contributes to its meaning.",,CC.1.3.7.D|CC.1.3.7.E|CC.1.3.7.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-C.2,Craft and Structure,E07.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E07.A-C.2.1.3,"Determine how the author uses the meaning of words or phrases, including figurative and connotative meanings, in a text; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama.",,CC.1.3.7.D|CC.1.3.7.E|CC.1.3.7.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-C.3,Integration of Knowledge and Ideas,E07.A-C.3.1,"Demonstrate understanding of connections within, between, and/or among texts.",E07.A-C.3.1.1,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history.",,CC.1.3.7.H,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-V.4,Vocabulary Acquisition and Use,E07.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E07.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies (context clues; common Greek or Latin affixes and roots).",,CC.1.3.7.F|CC.1.3.7.I|CC.1.3.7.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,A,Literature Text,E07.A-V.4,Vocabulary Acquisition and Use,E07.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E07.A-V.4.1.2,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings (figures of speech such as literary and mythological allusions; word relationships such as synonym/antonym and analogy; connotations vs. denotations).",,CC.1.3.7.F|CC.1.3.7.I|CC.1.3.7.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,7,B,Informational Text,E07.B-K.1,Key Ideas and Details,E07.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E07.B-K.1.1.1,"Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences, conclusions, and/or generalizations drawn from the text.",,CC.1.2.7.A|CC.1.2.7.B|CC.1.2.7.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 7 ELA Assessment Anchors and Eligible Content,2014,2017,
