"itemId","eligibleContent","interactionType","pointValue","reviewStatus","itemStatus","requiresFigure","evidenceKind","studentPreviewLeakFree"
"pssa_item_g3_eoy_p1_mcq_bk111","E03.B-K.1.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_mcq_bc212","E03.B-C.2.1.2","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_mcq_bc311","E03.B-C.3.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_mcq_bv411","E03.B-V.4.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_mcq_bc313","E03.B-C.3.1.3","MCQ","1","PENDING","candidate","true","figure_and_quoted_text","PASS"
"pssa_item_g3_eoy_p1_te_bk112","E03.B-K.1.1.2","MATCHING_GRID","3","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_sa_bk113","E03.B-K.1.1.3","SHORT_ANSWER","3","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_mcq_bc212_ao2","E03.B-C.2.1.2","MCQ","1","PENDING","candidate","true","figure_and_quoted_text","PASS"
"pssa_item_g3_eoy_p1_mcq_bv411_ao3","E03.B-V.4.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p1_te_bc313_ao9","E03.B-C.3.1.3","MATCHING_GRID","3","PENDING","candidate","true","figure_and_quoted_text","PASS"
"pssa_item_g3_eoy_p1_te_bv411_ao10","E03.B-V.4.1.1","MATCHING_GRID","3","PENDING","candidate","false","passage_only","PASS"
