itemId,interactionType,field,matchedSourceFile,longestNormalizedNgram,overlapScore,matchType,result
pssa_mg_g3_creek_01,MATCHING_GRID,stem,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,instructionText,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,rows.0.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,rows.1.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,rows.2.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,columns.0.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,columns.1.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,columns.2.label,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,correctCells.0,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,correctCells.1,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,correctCells.2,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,assignedPassage.text,,,0,none,PASS
pssa_mg_g3_creek_01,MATCHING_GRID,secondaryPassage.text,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,stem,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,instructionText,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,rows.0.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,rows.1.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,rows.2.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,columns.0.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,columns.1.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,columns.2.label,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,correctCells.0,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,correctCells.1,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,correctCells.2,,,0,none,PASS
pssa_mg_g3_map_01,MATCHING_GRID,assignedPassage.text,reference/pssa-released-items/extracted/grade-6/tda-rubric-exemplars.json,the end of the,0.0132,content-bearing,PASS
pssa_mg_g3_map_01,MATCHING_GRID,secondaryPassage.text,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,stem,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,instructionText,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,rows.0.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,rows.1.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,rows.2.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,columns.0.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,columns.1.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,columns.2.label,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,correctCells.0,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,correctCells.1,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,correctCells.2,,,0,none,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,assignedPassage.text,reference/pssa-released-items/extracted/grade-6/tda-rubric-exemplars.json,the end of the,0.0132,content-bearing,PASS
pssa_mg_g3_lunch_01,MATCHING_GRID,secondaryPassage.text,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,stem,reference/pssa-item-catalog/grades456.md,to show how the,0.3333,content-bearing,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,instructionText,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,rows.0.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,rows.1.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,rows.2.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,columns.0.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,columns.1.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,columns.2.label,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,correctCells.0,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,correctCells.1,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,correctCells.2,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,assignedPassage.text,,,0,none,PASS
pssa_mg_g3_mural_01,MATCHING_GRID,secondaryPassage.text,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,stem,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,instructionText,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,rows.0.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,rows.1.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,rows.2.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,columns.0.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,columns.1.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,columns.2.label,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,correctCells.0,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,correctCells.1,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,correctCells.2,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,assignedPassage.text,,,0,none,PASS
pssa_mg_g3_cart_01,MATCHING_GRID,secondaryPassage.text,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,prompt,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,instructionText,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,tokens.0.text,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,tokens.1.text,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,tokens.2.text,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,targets.0.label,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,targets.1.label,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,targets.2.label,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,correctAssignments.0,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,correctAssignments.1,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,correctAssignments.2,,,0,none,PASS
pssa_dd_g3_creek_01,DRAG_DROP,assignedPassage.text,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,prompt,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,instructionText,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,tokens.0.text,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,tokens.1.text,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,tokens.2.text,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,tokens.3.text,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,targets.0.label,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,targets.1.label,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,correctAssignments.0,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,correctAssignments.1,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,correctAssignments.2,,,0,none,PASS
pssa_dd_g3_map_01,DRAG_DROP,assignedPassage.text,reference/pssa-released-items/extracted/grade-6/tda-rubric-exemplars.json,the end of the,0.0132,content-bearing,PASS
pssa_dd_g3_lunch_01,DRAG_DROP,prompt,,,0,none,PASS
pssa_dd_g3_lunch_01,DRAG_DROP,instructionText,,,0,none,PASS
pssa_dd_g3_lunch_01,DRAG_DROP,tokens.0.text,,,0,none,PASS
pssa_dd_g3_lunch_01,DRAG_DROP,tokens.1.text,,,0,none,PASS
