oldItemId,newItemId,reason,status
pssa_item_g3_conv_29,pssa_conv_g3_hottext_function_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_30,pssa_conv_g3_dropdown_plural_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_31,pssa_conv_g3_dropdown_plural_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_32,pssa_conv_g3_dropdown_verbtense_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_33,pssa_conv_g3_dropdown_verbtense_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_34,pssa_conv_g3_mcq_agreement_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_35,pssa_conv_g3_dropdown_compare_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_36,pssa_conv_g3_mcq_agreement_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_37,pssa_conv_g3_mcq_agreement_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_38,pssa_conv_g3_dropdown_titles_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_39,pssa_conv_g3_drag_address_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
pssa_item_g3_conv_40,pssa_conv_g3_drag_dialogue_01,superseded_by_pssa_pr4n_conventions_rebuild,resolved
